,Linear,Geometric,Tree-Based,NeuralNetwork-Based
BCENERGY,0.09390367251155574,0.08304438832662106,0.029816637159223756,0.13227250306678542
ST77SV,0.0,0.059588471243264836,0.03458410739909743,0.2164558539002234
ST119TA,0.0,0.061385017203087894,0.09340722380928375,0.17062301732301424
ST13TA,0.019791161731687035,0.06940853103973949,0.02302566017078391,0.19816293250276587
MH11HEMA,0.010384214491763322,0.07325234538314163,0.01070224073052453,0.20744868321752208
ST88SV,0.0,0.06398899449705173,0.039403938048641965,0.19381540498779004
BCDROWSY,0.06455898327721989,0.06861062084789338,0.030491531361626315,0.1427577060791518
BCFALL,0.06164299659532811,0.07748335727253805,0.012274126723260224,0.15019060542977464
ST85TS,0.0,0.06117448140829472,0.03437703843937188,0.19169400637951944
BCDIARRH,0.06735969352223567,0.06399198064958889,0.012088361838793825,0.15134105601752224
BCRASH,0.015161605429005532,0.09669014031177138,0.010577677623084366,0.1652044349934029
ST45TA,0.0,0.05506290902153464,0.017989607676631866,0.2015562831025629
ST60TS,0.0,0.05185774500789415,0.014497565909786002,0.20192885903227814
EcogPtVisspat,0.0,0.03710760487870071,0.04930116622481615,0.1852155979618119
ST72TS,0.0,0.03608134654420841,0.022215138614123144,0.20350452026348229
ST108TS,0.0,0.04908881268946866,0.03146085040319267,0.18777054495297582
ST60SA,0.0,0.04337547579986236,0.03739140231007738,0.18726596109681548
TRAASCOR,0.0,0.01898796218856943,0.011947200166155402,0.2206558663096665
ST57TS,0.0,0.032977687727358776,0.03700121472562,0.19116024706658255
ST30SV,0.0,0.025065107347276204,0.03619888483463441,0.19700011224032515
NPISCORE,0.0,0.027872710728774133,0.019330086812816363,0.2053548161703995
ST109TS,0.002980924104965092,0.056010030913354485,0.02909946334315404,0.17626192030584076
ST83TA,0.0,0.05835354944868516,0.015807323816461664,0.18268052998677747
ST95CV,0.0032320506016009676,0.04161874398326072,0.011924097022109705,0.1953216118131766
PTEDUCAT,0.05934465826385,0.07052748326566846,0.012202595459352622,0.13047009982857052
ST49TA,0.03332231189687704,0.04844617147483262,0.023943265876921034,0.1593755874506563
ST60CV,0.0,0.04766247521258873,0.02362025242899052,0.1838256399134359
ST115TA,0.0,0.054892461806518654,0.020804782347333,0.1792717954831198
ST12SV,0.0,0.04618552723451164,0.015922055502883115,0.1877185704253716
ST13SA,0.0,0.04747123159823665,0.011891260041995446,0.18731633190556204
ST105SA,0.02852237977472859,0.04322653051441978,0.02420696340477136,0.15912826373682862
ST38TA,0.0,0.044361918213290025,0.0118064366311214,0.1862065038942593
ST48TA,0.0,0.04716792415685741,0.01636153510401898,0.17889356155331415
ST44TS,0.00381676229517496,0.058868138869743375,0.0153355262660582,0.16763985922995428
ST73TA,0.0,0.0389077986346636,0.01489909336837365,0.18435739828266104
ST102TS,0.0,0.04471636073421397,0.016780204702714286,0.17851574159700154
BCDPMOOD,0.03580765011521651,0.05610611093294333,0.0347214377730705,0.12929497442251922
ST14TS,0.0,0.06583721919669121,0.017471134075354628,0.1609650953680356
ST119CV,0.0,0.049330441532064354,0.02337267308557697,0.16949978658287512
TAU,0.0,0.04122868131846634,0.01718654733822513,0.1790961145389675
ST29SV,0.0,0.05458670184332268,0.0295064717105537,0.15936178828737962
ST89SV,0.0,0.02968736498750373,0.012045003967940058,0.18978872932611726
ST25TS,0.0012525850170237328,0.029740542006583406,0.019509768425470624,0.18276013709984115
ST47TS,0.0,0.03586062568881499,0.016963144848549515,0.1795899322727128
ST24TA,0.0,0.03859139875310982,0.04011591752191555,0.1601164336793743
ST25TA,0.0,0.04011776002371861,0.01278485197108898,0.17876435269529223
TRAAERRCOM,0.0,0.027239653094995778,0.010816755516131874,0.1892798707244027
ST26CV,0.0,0.02846465871648843,0.013998863674496433,0.18124706715146424
ST56TS,0.02542187123401345,0.04289093757276956,0.015428995632857923,0.15044721565485797
BNTCPHON,0.0,0.01880781968057358,0.045066833299904234,0.16190424383212362
ST93TA,0.0,0.05807090140851203,0.015734643134085062,0.15271637096729895
ST45CV,0.0,0.03817098190958258,0.02246242806153803,0.16309087403689723
ST103TA,0.0,0.055848659972346906,0.012589235758744533,0.15454554294174103
ST71SV,0.0,0.032402255883420085,0.02391341916180796,0.16402414356730818
PTAU,0.0,0.043723917331681766,0.01889348624880777,0.1573962051499719
ST74CV,0.0,0.03954575927802719,0.01680243849359564,0.16210825289793068
ST84TA,0.0,0.05257226476284743,0.023775400798492698,0.14499302619310567
ST105TS,0.0,0.041997275986412036,0.026481637286785705,0.15119322922881007
ST24TS,0.0,0.04434271536421113,0.030190698712324018,0.14451917739548853
ST50TS,0.0,0.0455092859725224,0.0161958783055568,0.15184130199475843
ST53SV,0.0005664534507191105,0.03230111023577262,0.01204739686542621,0.16447474419681424
ST83CV,0.0,0.044389366028068256,0.013490439968725766,0.15388165394878095
ST109TA,0.0,0.037170206908833915,0.0120454048244973,0.15957729289393122
ST96SV,0.0,0.022686642607696747,0.03910654537059954,0.1492050010873446
ST93TS,0.0,0.028392119284072963,0.029273742076592335,0.15217388657454214
ST14SA,0.0,0.040943483367674664,0.010939101576270094,0.15450834441986352
ST26SA,0.0,0.0366035413039395,0.012047407108743899,0.15565028640704062
ST51TS,0.0,0.03607087973050329,0.029780117437159324,0.14231407437802548
ST48TS,0.0,0.036219825749655994,0.025622813074528728,0.1443347339780154
ST36CV,2.370083484862803e-10,0.03246931716773493,0.01194605308636747,0.1573644244440144
ST52TA,0.0,0.035900021465730916,0.04722759038269871,0.12575828276349382
ST35SA,0.0,0.017261117306832944,0.03302177461156568,0.15175290683981696
ST62TS,0.0022605023086738583,0.03328620289937728,0.011305686936756857,0.15405660506022487
ST117TS,0.0,0.03482577141975858,0.018981753972317803,0.14682441769954097
ST70SV,0.0017711213877401055,0.03770264821868357,0.016688038739729186,0.14472104441853514
BCCOUGH,0.0,0.05879473013258987,0.01110034308669494,0.13294815561330317
ST5SV,0.0013447163762720683,0.04537560660510361,0.012751937672746332,0.14179515618881264
ST56CV,0.009898567171509805,0.028625632056323947,0.014854302663605556,0.14629717014078134
ST69SV,0.0,0.04060498202216329,0.013439220694146435,0.14493183770102255
TRABERROM,0.0,0.00934939874522068,0.013408831034003848,0.1681942000760782
ST111CV,0.006882523107745756,0.03291153014189748,0.0130175985119057,0.14566212231638423
ST32TS,0.010294241584743685,0.019701589572598283,0.051953143471820576,0.12210634150175624
BCABDOMN,0.004370412089544415,0.05913916394856293,0.01002666407359421,0.12806037790989871
ST72CV,0.0,0.04799180789699343,0.012819365772588931,0.13820860809590943
ST44TA,0.0,0.044406724128728786,0.03195739367678629,0.1255043767686319
ST118TS,0.0,0.023585298877558898,0.017401275310579303,0.15321941686649315
ST97SA,0.0,0.043024969338691786,0.02349014738405363,0.13189447202607008
ST32TA,0.0,0.03876956250246549,0.014516403279119664,0.1420601801523042
ST84CV,0.0,0.031909104347245525,0.01271986524158309,0.14758972662527012
ST84TS,0.0,0.04154243018711816,0.012161055606194989,0.1391317280435988
ST103CV,0.0,0.03504449122762288,0.017526588885266557,0.14011737395729557
